nombre-comun,nombre-cientifico,region,habitat,medida
"""Chirigüe Dorado""","""Sicalis auriventris""","""Entre la Región de Atacama y la Región de Magallanes""",cordillera,"""14 - 15 cm."""
"""Chuncho""","""Glaucidium nana""","""Entre la Región de Atacama y la Región de Magallanes""",bosque,"""17 - 21 cm."""
"""Churrete común""","""Cinclodes patagonicus""","""Entre la Región de Atacama y la Región de Magallanes""",arbustos,"""18 - 22 cm."""
"""Colegial""","""Lessonia rufa""","""Entre la Región de Atacama y la Región de Magallanes""",costa,"""11 - 13 cm."""
"""Nuco""","""Asio flammeus""","""Entre la Región de Atacama y la Región de Magallanes""",pradera y pastizales,"""34 - 42 cm."""
"""Pato Colorado""","""Anas cyanoptera""","""Entre la Región de Atacama y la Región de Magallanes""",costa,"""35 - 48 cm."""
"""Pato Negro""","""Netta peposaca""","""Entre la Región de Atacama y la Región de Magallanes""",costa,"""53 - 57 cm."""
"""Tagua Común""","""Fulica armillata""","""Entre la Región de Atacama y la Región de Magallanes""",costa,"""43 - 50 cm."""
"""Cometocino de Gay""","""Phrygilus gayi""","""Entre la Región de Atacama y la Región del Biobío""",costa y bosque,"""15 - 17 cm."""
"""Becasina Pintada""","""Nycticryphes semicollaris""","""Entre la Región de Coquimbo y la Región de Los Lagos""",costa,"""19 - 23 cm."""
"""Pato Jergón Chico""","""Anas flavirostris""","""Entre la Región de Coquimbo y la Región de Magallanes""",costa,"""35 - 45 cm."""
"""Peuquito""","""Accipiter chilensis""","""Entre la Región de Coquimbo y la Región de Magallanes""",bosque,"""30 - 42 cm."""
"""Cormorán Imperial""","""Phalacrocorax atriceps""","""Entre la Región de Los Lagos y la Región de Magallanes""",costa,"""68 - 76 cm."""
"""Chorlo Chileno""","""Charadrius modestus""","""Entre la Región de Tarapacá y la Región de Magallanes""",costa,"""19 - 22 cm."""
"""Aguilucho Chico""","""Buteo albigula""","""Entre la Región de Valparaíso y la Región de Aysén""",bosque,"""38 - 48 cm."""
"""Cormorán de las rocas""","""Phalacrocorax magellanicus""","""Entre la Región del Biobío y la Región de Magallanes""",costa,"""66 - 71 cm."""
"""Gaviota  Austral""","""Leucophaeus scoresbii""","""Entre la Región del Biobío y la Región de Magallanes""",costa,"""40 - 46 cm."""
"""Pato Capuchino""","""Anas versicolor""","""Entre la Región Metropolitana de Santiago y la Región de Magallanes""",costa,"""39 - 43 cm"""
"""Ñandú - Suri""","""Rhea pennata""","""Entre la Regiones  de Arica y Parinacota y Atacama""",altiplano,"""92 - 100 cm."""
"""Cisne Coscoroba""","""Coscoroba coscoroba""","""Entre la Región de Los Lagos y la Región de Magallanes""",costa,"""90 - 115 cm."""
"""Rayadito""","""Aphrastura spinicauda""","""Entre la Región de Coquimbo y la Región de Magallanes""",bosque,"""13 - 14 cm."""
"""Bailarín chico común""","""Anthus correndera""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",praderas y pastizales,"""14 - 16 cm."""
"""Bandurria""","""Theristicus melanopis""","""Entre la Región de Antofagasta y la Región de Magallanes""",praderas y pastizales,"""71 -76 cm."""
"""Caiquén""","""Chloephaga picta""","""Entre la Región de Los Lagos y la Región de Magallanes""",costa,"""60 - 73 cm."""
"""Carpinterito""","""Picoides lignarius""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",praderas y bosque,"""15 - 18 cm."""
"""Cóndor""","""Vultur gryphus""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",cordillera,"""100 - 130 cm."""
"""Chincol""","""Zonotrichia capensis""","""Entre la Región de Atacama y la Región de Aysén""","costa, pradera, pastizales y bosque","""12 - 15 cm."""
"""Chirigüe Común""","""Sicalis luteola""","""Entre la Región de Coquimbo y la Región de Magallanes""",pastizales,"""10 -12 cm."""
"""Comesebo Grande""","""Pygarrhichas albogularis""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",bosque,"""15 - 16 cm."""
"""Cormorán Yeco""","""Phalacrocorax brasilianus""","""Entre la Región de Antofagasta y la Región de Magallanes""",costa,"""58 - 73 cm."""
"""Garza grande""","""Ardea alba""","""Entre la Región de Arica y Parinacota y la Región de La Araucanía""",costa,"""80 - 104 cm."""
"""Gaviota Andina""","""Larus serranus""","""Entre la Región de Arica y Parinacota y la Región de Magallanes.""",costa,"""44 - 48 cm."""
"""Golondrina Chilena""","""Tachycineta meyeni""","""Entre la Región de Atacama y la Región de Magallanes""",costa,"""12 - 14 cm."""
